,date,month,year,time,rssi_1,rssi_2,difference
0,27,7,2016,11:56,71,60,11
1,27,7,2016,11:57,72,61,11
2,27,7,2016,11:58,72,61,11
3,27,7,2016,11:59,74,60,14
4,27,7,2016,12:00,60,60,0
5,27,7,2016,12:01,59,60,1
6,27,7,2016,12:02,58,60,2
7,27,7,2016,12:03,59,61,2
8,27,7,2016,12:04,61,61,0
9,27,7,2016,12:05,60,61,1
10,27,7,2016,12:06,60,61,1
11,27,7,2016,12:07,61,60,1
12,27,7,2016,12:08,61,61,0
13,27,7,2016,12:09,59,61,2
14,27,7,2016,12:10,59,61,2
15,27,7,2016,12:11,59,61,2
16,27,7,2016,12:12,59,61,2
17,27,7,2016,12:13,58,61,3
18,27,7,2016,12:14,58,60,2
19,27,7,2016,12:15,59,61,2
20,27,7,2016,12:16,58,61,3
21,27,7,2016,12:17,60,61,1
22,27,7,2016,12:18,60,61,1
23,27,7,2016,12:19,59,61,2
24,27,7,2016,12:20,60,61,1
25,27,7,2016,12:21,60,61,1
26,27,7,2016,12:22,58,61,3
27,27,7,2016,12:23,59,61,2
28,27,7,2016,12:24,59,61,2
29,27,7,2016,12:25,59,61,2
30,27,7,2016,12:26,60,62,2
31,27,7,2016,12:27,60,61,1
32,27,7,2016,12:28,59,61,2
33,27,7,2016,12:29,59,61,2
34,27,7,2016,12:30,59,60,1
35,27,7,2016,12:31,58,61,3
36,27,7,2016,12:32,59,63,4
37,27,7,2016,12:33,59,61,2
38,27,7,2016,12:34,59,62,3
39,27,7,2016,12:35,59,61,2
40,27,7,2016,12:36,61,61,0
41,27,7,2016,12:37,59,60,1
42,27,7,2016,12:38,59,62,3
43,27,7,2016,12:39,59,61,2
44,27,7,2016,12:40,58,60,2
45,27,7,2016,12:41,58,61,3
46,27,7,2016,12:42,59,60,1
47,27,7,2016,12:43,59,61,2
48,27,7,2016,12:44,60,61,1
49,27,7,2016,12:45,59,61,2
50,27,7,2016,12:46,59,60,1
51,27,7,2016,12:47,59,61,2
52,27,7,2016,12:48,58,60,2
53,27,7,2016,12:49,58,61,3
54,27,7,2016,12:50,59,61,2
55,27,7,2016,12:51,59,61,2
56,27,7,2016,12:52,59,61,2
57,27,7,2016,12:53,58,60,2
58,27,7,2016,12:54,58,60,2
59,27,7,2016,12:55,59,61,2
60,27,7,2016,12:56,59,61,2
61,27,7,2016,12:57,59,60,1
62,27,7,2016,12:58,59,60,1
63,27,7,2016,12:59,58,60,2
64,27,7,2016,13:00,59,63,4
65,27,7,2016,13:01,59,60,1
66,27,7,2016,13:02,60,61,1
67,27,7,2016,13:03,59,60,1
68,27,7,2016,13:04,60,60,0
69,27,7,2016,13:05,58,61,3
70,27,7,2016,13:06,59,61,2
71,27,7,2016,13:07,59,61,2
72,27,7,2016,13:08,58,61,3
73,27,7,2016,13:09,59,61,2
74,27,7,2016,13:10,58,61,3
75,27,7,2016,13:11,59,61,2
76,27,7,2016,13:12,60,61,1
77,27,7,2016,13:13,57,61,4
78,27,7,2016,13:14,57,61,4
79,27,7,2016,13:15,58,61,3
80,27,7,2016,13:16,58,61,3
81,27,7,2016,13:17,56,62,6
82,27,7,2016,13:18,58,61,3
83,27,7,2016,13:19,58,61,3
84,27,7,2016,13:20,58,61,3
85,27,7,2016,13:21,60,61,1
