,hour,min,Nb_People,date,rssi
0,11,56,4,27,71
1,11,57,4,27,72
2,11,58,6,27,72
3,11,59,6,27,74
4,12,0,12,27,60
5,12,1,12,27,59
6,12,2,10,27,58
7,12,3,10,27,59
8,12,4,19,27,61
9,12,5,19,27,60
10,12,6,24,27,60
11,12,7,25,27,61
12,12,8,26,27,61
13,12,9,26,27,59
14,12,10,25,27,59
15,12,11,25,27,59
16,12,12,25,27,59
17,12,13,25,27,58
18,12,14,25,27,58
19,12,15,25,27,59
20,12,16,25,27,58
21,12,17,25,27,60
22,12,18,25,27,60
23,12,19,25,27,59
24,12,20,25,27,60
25,12,21,25,27,60
26,12,22,25,27,58
27,12,23,25,27,59
28,12,24,25,27,59
29,12,25,25,27,59
30,12,26,25,27,60
31,12,27,25,27,60
32,12,28,25,27,59
33,12,29,25,27,59
34,12,30,25,27,59
35,12,31,25,27,58
36,12,32,25,27,59
37,12,33,26,27,59
38,12,34,26,27,59
39,12,35,26,27,59
40,12,36,26,27,61
41,12,37,26,27,59
42,12,38,26,27,59
43,12,39,26,27,59
44,12,40,26,27,58
45,12,41,26,27,58
46,12,42,26,27,59
47,12,43,26,27,59
48,12,44,26,27,60
49,12,45,26,27,59
50,12,46,26,27,59
51,12,47,26,27,59
52,12,48,26,27,58
53,12,49,26,27,58
54,12,50,26,27,59
55,12,51,26,27,59
56,12,52,26,27,59
57,12,53,26,27,58
58,12,54,26,27,58
59,12,55,26,27,59
60,12,56,26,27,59
61,12,57,26,27,59
62,12,58,26,27,59
63,12,59,26,27,58
64,13,0,26,27,59
65,13,1,26,27,59
66,13,2,26,27,60
67,13,3,25,27,59
68,13,4,25,27,60
69,13,5,25,27,58
70,13,6,25,27,59
71,13,7,25,27,59
72,13,8,25,27,58
73,13,9,25,27,59
74,13,10,25,27,58
75,13,11,25,27,59
76,13,12,25,27,60
77,13,13,24,27,57
78,13,14,24,27,57
79,13,15,24,27,58
80,13,16,24,27,58
81,13,17,24,27,56
82,13,18,24,27,58
83,13,19,24,27,58
84,13,20,24,27,58
85,13,21,24,27,60
